repetition	iteration	scenario_id	latency_ns
0	0	abac-001	4364955224
0	1	abac-002	4477400823
0	2	abac-003	4448537048
0	3	abac-004	4316749811
0	4	abac-005	4329717618
0	5	abac-006	4424110367
0	6	abac-007	4413107319
0	7	abac-008	4368470236
0	8	abac-009	4421120347
0	9	abac-010	4513342574
0	10	abac-001	4594913450
0	11	abac-002	4750899785
0	12	abac-003	4413115287
0	13	abac-004	4432445636
0	14	abac-005	4402342098
0	15	abac-006	4196630075
0	16	abac-007	4292927214
0	17	abac-008	4349936002
0	18	abac-009	4355629549
0	19	abac-010	4278124856
1	0	abac-001	4431669322
1	1	abac-002	4412040389
1	2	abac-003	4442037570
1	3	abac-004	4397786527
1	4	abac-005	4415197960
1	5	abac-006	4363247182
1	6	abac-007	4300590616
1	7	abac-008	4286762742
1	8	abac-009	4344638241
1	9	abac-010	4351572056
1	10	abac-001	4430507243
1	11	abac-002	4512725844
1	12	abac-003	4209277786
1	13	abac-004	4429031278
1	14	abac-005	4551404340
1	15	abac-006	4604226741
1	16	abac-007	4482895159
1	17	abac-008	4490115760
1	18	abac-009	4426636135
1	19	abac-010	4265226107
2	0	abac-001	4383296325
2	1	abac-002	4279965886
2	2	abac-003	4395426995
2	3	abac-004	4462538150
2	4	abac-005	4397095927
2	5	abac-006	4299155802
2	6	abac-007	4228328701
2	7	abac-008	4327060199
2	8	abac-009	4343930586
2	9	abac-010	4357641476
2	10	abac-001	4191363292
2	11	abac-002	4323578210
2	12	abac-003	4270014207
2	13	abac-004	4337239674
2	14	abac-005	4388475373
2	15	abac-006	4633850481
2	16	abac-007	4442970045
2	17	abac-008	4486621280
2	18	abac-009	4401732593
2	19	abac-010	4585308859
