repetition	iteration	scenario_id	latency_ns
0	0	abac-001	2449024942
0	1	abac-002	2418617931
0	2	abac-003	2483866385
0	3	abac-004	2493381540
0	4	abac-005	2521981724
0	5	abac-006	2451766278
0	6	abac-007	2412698343
0	7	abac-008	2472155652
0	8	abac-009	2464589992
0	9	abac-010	2474525625
0	10	abac-001	2474518455
0	11	abac-002	2462096414
0	12	abac-003	2500561621
0	13	abac-004	2445870189
0	14	abac-005	2468983663
0	15	abac-006	2430257552
0	16	abac-007	2359678753
0	17	abac-008	2460644501
0	18	abac-009	2454129247
0	19	abac-010	2454659045
1	0	abac-001	2476396958
1	1	abac-002	2457737767
1	2	abac-003	2423356280
1	3	abac-004	2477707006
1	4	abac-005	2515952478
1	5	abac-006	2655880967
1	6	abac-007	2764786008
1	7	abac-008	2501655948
1	8	abac-009	2462360041
1	9	abac-010	2493112535
1	10	abac-001	2531525329
1	11	abac-002	2582954362
1	12	abac-003	2460852199
1	13	abac-004	2468592318
1	14	abac-005	2406869438
1	15	abac-006	2439062992
1	16	abac-007	2449979168
1	17	abac-008	2484892502
1	18	abac-009	2557667722
1	19	abac-010	2492311399
2	0	abac-001	2454990341
2	1	abac-002	2479463693
2	2	abac-003	2412032780
2	3	abac-004	2619942970
2	4	abac-005	2488334889
2	5	abac-006	2456612032
2	6	abac-007	2459785987
2	7	abac-008	2495598374
2	8	abac-009	2458653299
2	9	abac-010	2460533928
2	10	abac-001	2476690988
2	11	abac-002	2525029886
2	12	abac-003	2493260268
2	13	abac-004	2531588411
2	14	abac-005	2451006977
2	15	abac-006	2365396602
2	16	abac-007	2454225663
2	17	abac-008	2495535258
2	18	abac-009	2480976759
2	19	abac-010	2474145689
