repetition	iteration	scenario_id	latency_ns
0	0	abac-001	1377782794
0	1	abac-002	1400040696
0	2	abac-003	1359926487
0	3	abac-004	1326787697
0	4	abac-005	1358441474
0	5	abac-006	1356270002
0	6	abac-007	1338763289
0	7	abac-008	1369840049
0	8	abac-009	1399864111
0	9	abac-010	1385417165
0	10	abac-001	1382314347
0	11	abac-002	1327065940
0	12	abac-003	1344952038
0	13	abac-004	1414365841
0	14	abac-005	1375862435
0	15	abac-006	1336650187
0	16	abac-007	1354535976
0	17	abac-008	1412828928
0	18	abac-009	1394182819
0	19	abac-010	1423772125
1	0	abac-001	1385376760
1	1	abac-002	1364143074
1	2	abac-003	1354705147
1	3	abac-004	1336094848
1	4	abac-005	1383416822
1	5	abac-006	1355497457
1	6	abac-007	1424630568
1	7	abac-008	1380385407
1	8	abac-009	1414114864
1	9	abac-010	1376789564
1	10	abac-001	1383174356
1	11	abac-002	1402883102
1	12	abac-003	1351526519
1	13	abac-004	1367129594
1	14	abac-005	1381085545
1	15	abac-006	1415721226
1	16	abac-007	1395862879
1	17	abac-008	1401529441
1	18	abac-009	1374618252
1	19	abac-010	1419684883
2	0	abac-001	1419130335
2	1	abac-002	1425837461
2	2	abac-003	1412588479
2	3	abac-004	1438948870
2	4	abac-005	1366386152
2	5	abac-006	1395460252
2	6	abac-007	1371297074
2	7	abac-008	1374263355
2	8	abac-009	1490768189
2	9	abac-010	1375234238
2	10	abac-001	1465613984
2	11	abac-002	1509460548
2	12	abac-003	1445886379
2	13	abac-004	1446181484
2	14	abac-005	1404823686
2	15	abac-006	1413047074
2	16	abac-007	1367668047
2	17	abac-008	1420659764
2	18	abac-009	1379868415
2	19	abac-010	1421373294
