repetition	iteration	scenario_id	latency_ns
0	0	abac-001	130321
0	1	abac-002	127071
0	2	abac-003	110051
0	3	abac-004	11749375
0	4	abac-005	7178010
0	5	abac-006	7112270
0	6	abac-007	7061169
0	7	abac-008	7155390
0	8	abac-009	7184200
0	9	abac-010	6972499
0	10	abac-001	62182
0	11	abac-002	59701
0	12	abac-003	58921
0	13	abac-004	7112990
0	14	abac-005	7154880
0	15	abac-006	7114680
0	16	abac-007	7099419
0	17	abac-008	7147170
0	18	abac-009	7177581
0	19	abac-010	6970637
1	0	abac-001	61180
1	1	abac-002	58921
1	2	abac-003	58711
1	3	abac-004	7139331
1	4	abac-005	7157000
1	5	abac-006	7117460
1	6	abac-007	7052799
1	7	abac-008	7244341
1	8	abac-009	7161101
1	9	abac-010	6982797
1	10	abac-001	63641
1	11	abac-002	59291
1	12	abac-003	59220
1	13	abac-004	7128630
1	14	abac-005	7170091
1	15	abac-006	7112019
1	16	abac-007	7059650
1	17	abac-008	7132800
1	18	abac-009	7155750
1	19	abac-010	6974739
2	0	abac-001	61490
2	1	abac-002	59121
2	2	abac-003	59000
2	3	abac-004	7105090
2	4	abac-005	7149221
2	5	abac-006	7124630
2	6	abac-007	7060948
2	7	abac-008	7151900
2	8	abac-009	7187171
2	9	abac-010	6972388
2	10	abac-001	62391
2	11	abac-002	73951
2	12	abac-003	60050
2	13	abac-004	7148360
2	14	abac-005	7165099
2	15	abac-006	7113750
2	16	abac-007	7068458
2	17	abac-008	7150730
2	18	abac-009	7157400
2	19	abac-010	6993658
