repetition	iteration	scenario_id	latency_ns
0	0	abac-001	156282
0	1	abac-002	138571
0	2	abac-003	137912
0	3	abac-004	3524854
0	4	abac-005	3432353
0	5	abac-006	3388554
0	6	abac-007	3380682
0	7	abac-008	3431104
0	8	abac-009	3410693
0	9	abac-010	3516774
0	10	abac-001	146241
0	11	abac-002	142242
0	12	abac-003	141861
0	13	abac-004	3626765
0	14	abac-005	2894188
0	15	abac-006	2730317
0	16	abac-007	2664366
0	17	abac-008	2721057
0	18	abac-009	2809737
0	19	abac-010	1452775
1	0	abac-001	59499
1	1	abac-002	63860
1	2	abac-003	59139
1	3	abac-004	1497405
1	4	abac-005	1492606
1	5	abac-006	1473563
1	6	abac-007	1483274
1	7	abac-008	1591396
1	8	abac-009	1490424
1	9	abac-010	1453164
1	10	abac-001	63161
1	11	abac-002	58400
1	12	abac-003	58281
1	13	abac-004	1482014
1	14	abac-005	1492474
1	15	abac-006	1483704
1	16	abac-007	1462545
1	17	abac-008	1502845
1	18	abac-009	1488304
1	19	abac-010	1456194
2	0	abac-001	68321
2	1	abac-002	58810
2	2	abac-003	67751
2	3	abac-004	1474824
2	4	abac-005	1486655
2	5	abac-006	1483864
2	6	abac-007	1467455
2	7	abac-008	1491146
2	8	abac-009	1496125
2	9	abac-010	1445683
2	10	abac-001	59162
2	11	abac-002	70220
2	12	abac-003	59461
2	13	abac-004	1490284
2	14	abac-005	1490764
2	15	abac-006	1476144
2	16	abac-007	1470245
2	17	abac-008	1483605
2	18	abac-009	1482965
2	19	abac-010	1458294
