worker	iteration	scenario_id	latency_ns
0-0	0	abac-001	1040860
0-0	1	abac-002	157961
0-0	2	abac-003	163812
0-0	3	abac-004	139632
0-0	4	abac-005	136411
0-0	5	abac-006	134162
0-0	6	abac-007	135001
0-0	7	abac-008	135150
0-0	8	abac-009	134771
0-0	9	abac-010	148791
0-0	10	abac-001	136801
0-0	11	abac-002	134652
0-0	12	abac-003	134981
0-0	13	abac-004	134341
0-0	14	abac-005	139302
0-0	15	abac-006	134031
0-0	16	abac-007	145451
0-0	17	abac-008	133301
0-0	18	abac-009	133262
0-0	19	abac-010	136001
0-1	0	abac-001	989190
0-1	1	abac-002	159212
0-1	2	abac-003	194741
0-1	3	abac-004	138912
0-1	4	abac-005	154841
0-1	5	abac-006	135262
0-1	6	abac-007	135011
0-1	7	abac-008	135391
0-1	8	abac-009	135721
0-1	9	abac-010	139272
0-1	10	abac-001	136050
0-1	11	abac-002	145582
0-1	12	abac-003	136201
0-1	13	abac-004	133972
0-1	14	abac-005	138731
0-1	15	abac-006	135053
0-1	16	abac-007	134572
0-1	17	abac-008	133112
0-1	18	abac-009	147073
0-1	19	abac-010	136451
1-0	0	abac-001	966330
1-0	1	abac-002	158470
1-0	2	abac-003	143853
1-0	3	abac-004	138272
1-0	4	abac-005	136220
1-0	5	abac-006	148762
1-0	6	abac-007	134711
1-0	7	abac-008	135661
1-0	8	abac-009	134952
1-0	9	abac-010	138511
1-0	10	abac-001	136811
1-0	11	abac-002	134902
1-0	12	abac-003	148511
1-0	13	abac-004	134591
1-0	14	abac-005	138432
1-0	15	abac-006	134281
1-0	16	abac-007	134091
1-0	17	abac-008	164103
1-0	18	abac-009	138262
1-0	19	abac-010	148971
1-1	0	abac-001	996630
1-1	1	abac-002	175881
1-1	2	abac-003	142503
1-1	3	abac-004	138401
1-1	4	abac-005	135511
1-1	5	abac-006	133532
1-1	6	abac-007	134121
1-1	7	abac-008	134701
1-1	8	abac-009	148762
1-1	9	abac-010	138471
1-1	10	abac-001	135031
1-1	11	abac-002	133802
1-1	12	abac-003	135411
1-1	13	abac-004	133481
1-1	14	abac-005	138091
1-1	15	abac-006	146782
1-1	16	abac-007	134251
1-1	17	abac-008	132351
1-1	18	abac-009	132512
1-1	19	abac-010	135381
2-0	0	abac-001	1013781
2-0	1	abac-002	178622
2-0	2	abac-003	143102
2-0	3	abac-004	137541
2-0	4	abac-005	135931
2-0	5	abac-006	133972
2-0	6	abac-007	133611
2-0	7	abac-008	134921
2-0	8	abac-009	148482
2-0	9	abac-010	138531
2-0	10	abac-001	135942
2-0	11	abac-002	134331
2-0	12	abac-003	175622
2-0	13	abac-004	137821
2-0	14	abac-005	140850
2-0	15	abac-006	150831
2-0	16	abac-007	135343
2-0	17	abac-008	134170
2-0	18	abac-009	134542
2-0	19	abac-010	139481
2-1	0	abac-001	1007011
2-1	1	abac-002	158212
2-1	2	abac-003	142922
2-1	3	abac-004	137651
2-1	4	abac-005	150982
2-1	5	abac-006	134102
2-1	6	abac-007	133391
2-1	7	abac-008	134551
2-1	8	abac-009	133811
2-1	9	abac-010	137602
2-1	10	abac-001	135041
2-1	11	abac-002	133671
2-1	12	abac-003	144522
2-1	13	abac-004	133131
2-1	14	abac-005	137912
2-1	15	abac-006	133062
2-1	16	abac-007	165211
2-1	17	abac-008	133641
2-1	18	abac-009	132762
2-1	19	abac-010	149662
