repetition	iteration	scenario_id	latency_ns
0	0	abac-001	158472
0	1	abac-002	150121
0	2	abac-003	144352
0	3	abac-004	148010
0	4	abac-005	184011
0	5	abac-006	166942
0	6	abac-007	151931
0	7	abac-008	143441
0	8	abac-009	139552
0	9	abac-010	144641
0	10	abac-001	180342
0	11	abac-002	155471
0	12	abac-003	140532
0	13	abac-004	142270
0	14	abac-005	139410
0	15	abac-006	139081
0	16	abac-007	140361
0	17	abac-008	151290
0	18	abac-009	139442
0	19	abac-010	138761
1	0	abac-001	139692
1	1	abac-002	142431
1	2	abac-003	139881
1	3	abac-004	147621
1	4	abac-005	150992
1	5	abac-006	181651
1	6	abac-007	145272
1	7	abac-008	139141
1	8	abac-009	138471
1	9	abac-010	142972
1	10	abac-001	153002
1	11	abac-002	180293
1	12	abac-003	169742
1	13	abac-004	143401
1	14	abac-005	138641
1	15	abac-006	138611
1	16	abac-007	141681
1	17	abac-008	176372
1	18	abac-009	151931
1	19	abac-010	138531
2	0	abac-001	142552
2	1	abac-002	139251
2	2	abac-003	139441
2	3	abac-004	138642
2	4	abac-005	153461
2	5	abac-006	139471
2	6	abac-007	138082
2	7	abac-008	137871
2	8	abac-009	141402
2	9	abac-010	138581
2	10	abac-001	138861
2	11	abac-002	167782
2	12	abac-003	179291
2	13	abac-004	147393
2	14	abac-005	138721
2	15	abac-006	138491
2	16	abac-007	138522
2	17	abac-008	186581
2	18	abac-009	165053
2	19	abac-010	168831
