repetition	iteration	scenario_id	latency_ns
0	0	abac-001	287228494
0	1	abac-002	201563854
0	2	abac-003	207090004
0	3	abac-004	305555664
0	4	abac-005	294191428
0	5	abac-006	206322892
0	6	abac-007	208454387
0	7	abac-008	213026722
0	8	abac-009	260221974
0	9	abac-010	204440652
0	10	abac-001	235155373
0	11	abac-002	191659324
0	12	abac-003	260070472
0	13	abac-004	306301048
0	14	abac-005	310840381
0	15	abac-006	252389585
0	16	abac-007	201019246
0	17	abac-008	227531829
0	18	abac-009	213340368
0	19	abac-010	198480045
1	0	abac-001	193763797
1	1	abac-002	193737607
1	2	abac-003	216422198
1	3	abac-004	200521287
1	4	abac-005	199263777
1	5	abac-006	200053960
1	6	abac-007	197009393
1	7	abac-008	198803211
1	8	abac-009	199483230
1	9	abac-010	223844540
1	10	abac-001	237236479
1	11	abac-002	296050242
1	12	abac-003	299179412
1	13	abac-004	327039647
1	14	abac-005	200345996
1	15	abac-006	199599813
1	16	abac-007	200429677
1	17	abac-008	198122180
1	18	abac-009	196551454
1	19	abac-010	189926996
2	0	abac-001	192811894
2	1	abac-002	192124643
2	2	abac-003	191531853
2	3	abac-004	200709233
2	4	abac-005	260062513
2	5	abac-006	198663479
2	6	abac-007	199692277
2	7	abac-008	199751527
2	8	abac-009	200536852
2	9	abac-010	190492116
2	10	abac-001	190982334
2	11	abac-002	191817028
2	12	abac-003	189742214
2	13	abac-004	195521619
2	14	abac-005	197751456
2	15	abac-006	201069719
2	16	abac-007	254522744
2	17	abac-008	279192058
2	18	abac-009	388796672
2	19	abac-010	413431404
