repetition	iteration	scenario_id	latency_ns
0	0	abac-001	27694772
0	1	abac-002	27674932
0	2	abac-003	33147911
0	3	abac-004	27809644
0	4	abac-005	27446888
0	5	abac-006	27831565
0	6	abac-007	27669632
0	7	abac-008	34392132
0	8	abac-009	36456725
0	9	abac-010	33178082
0	10	abac-001	32414860
0	11	abac-002	31476904
0	12	abac-003	24549371
0	13	abac-004	25862813
0	14	abac-005	24927356
0	15	abac-006	25476118
0	16	abac-007	25090490
0	17	abac-008	24336428
0	18	abac-009	23789588
0	19	abac-010	21086953
1	0	abac-001	25155880
1	1	abac-002	20528005
1	2	abac-003	19906684
1	3	abac-004	22191772
1	4	abac-005	21580892
1	5	abac-006	21699304
1	6	abac-007	20769430
1	7	abac-008	21034603
1	8	abac-009	20894091
1	9	abac-010	22771372
1	10	abac-001	22922055
1	11	abac-002	27187384
1	12	abac-003	27238995
1	13	abac-004	29523623
1	14	abac-005	28603777
1	15	abac-006	28971173
1	16	abac-007	29775987
1	17	abac-008	29815737
1	18	abac-009	30258275
1	19	abac-010	20119189
2	0	abac-001	19765962
2	1	abac-002	20233811
2	2	abac-003	19661731
2	3	abac-004	20480843
2	4	abac-005	20219960
2	5	abac-006	20628516
2	6	abac-007	20547865
2	7	abac-008	20454994
2	8	abac-009	20778960
2	9	abac-010	19105741
2	10	abac-001	19868075
2	11	abac-002	19742422
2	12	abac-003	19744102
2	13	abac-004	21208576
2	14	abac-005	20642946
2	15	abac-006	20906452
2	16	abac-007	28195121
2	17	abac-008	21600864
2	18	abac-009	20396383
2	19	abac-010	19023121
