worker	iteration	scenario_id	latency_ns
0	0	abac-001	8545633
0	1	abac-002	7225580
0	2	abac-003	6720281
0	3	abac-004	6370864
0	4	abac-005	5452328
0	5	abac-006	4284277
0	6	abac-007	4953318
0	7	abac-008	4731786
0	8	abac-009	6530647
0	9	abac-010	4660105
0	10	abac-001	4355688
0	11	abac-002	4950159
0	12	abac-003	5535270
0	13	abac-004	4387909
0	14	abac-005	4196265
0	15	abac-006	3641775
0	16	abac-007	4564222
0	17	abac-008	4418580
0	18	abac-009	5087292
0	19	abac-010	3803289
0	0	abac-001	4479810
0	1	abac-002	4198355
0	2	abac-003	4912888
0	3	abac-004	4843087
0	4	abac-005	3943830
0	5	abac-006	3227988
0	6	abac-007	4748015
0	7	abac-008	4390659
0	8	abac-009	3098006
0	9	abac-010	3813468
0	10	abac-001	4535792
0	11	abac-002	3374851
0	12	abac-003	4047963
0	13	abac-004	3681448
0	14	abac-005	3882729
0	15	abac-006	3314380
0	16	abac-007	3917060
0	17	abac-008	4565623
0	18	abac-009	3610115
0	19	abac-010	3417931
0	0	abac-001	15547230
0	1	abac-002	2937874
0	2	abac-003	2122417
0	3	abac-004	2168558
0	4	abac-005	2465634
0	5	abac-006	2138009
0	6	abac-007	2013337
0	7	abac-008	2019616
0	8	abac-009	1945864
0	9	abac-010	1984926
0	10	abac-001	1984706
0	11	abac-002	2062158
0	12	abac-003	2052167
0	13	abac-004	2046766
0	14	abac-005	1880834
0	15	abac-006	2148059
0	16	abac-007	1900605
0	17	abac-008	3684026
0	18	abac-009	2194500
0	19	abac-010	2007756
