repetition	iteration	scenario_id	latency_ns
0	0	abac-001	6439074
0	1	abac-002	6113480
0	2	abac-003	5433818
0	3	abac-004	5226776
0	4	abac-005	5340937
0	5	abac-006	4727517
0	6	abac-007	4769748
0	7	abac-008	4368431
0	8	abac-009	5006652
0	9	abac-010	4747877
0	10	abac-001	4048796
0	11	abac-002	3767851
0	12	abac-003	3789472
0	13	abac-004	3712120
0	14	abac-005	3687040
0	15	abac-006	3624990
0	16	abac-007	3564699
0	17	abac-008	3785591
0	18	abac-009	3678920
0	19	abac-010	3405427
1	0	abac-001	3277334
1	1	abac-002	3598629
1	2	abac-003	3385845
1	3	abac-004	3481177
1	4	abac-005	3169842
1	5	abac-006	3124262
1	6	abac-007	3289234
1	7	abac-008	3164421
1	8	abac-009	3085890
1	9	abac-010	2997588
1	10	abac-001	3170932
1	11	abac-002	3046050
1	12	abac-003	3094751
1	13	abac-004	2918647
1	14	abac-005	2898017
1	15	abac-006	2879198
1	16	abac-007	3108651
1	17	abac-008	3195213
1	18	abac-009	2820985
1	19	abac-010	2912287
2	0	abac-001	8978737
2	1	abac-002	2619022
2	2	abac-003	2396119
2	3	abac-004	2251776
2	4	abac-005	2131505
2	5	abac-006	2093834
2	6	abac-007	2059273
2	7	abac-008	2077065
2	8	abac-009	2031254
2	9	abac-010	1974042
2	10	abac-001	2244827
2	11	abac-002	2115956
2	12	abac-003	2164946
2	13	abac-004	2015383
2	14	abac-005	2051713
2	15	abac-006	2007594
2	16	abac-007	2456469
2	17	abac-008	1931711
2	18	abac-009	2016403
2	19	abac-010	1952582
