repetition	iteration	scenario_id	latency_ns
0	0	abac-001	3608478
0	1	abac-002	2269117
0	2	abac-003	2299447
0	3	abac-004	247117426
0	4	abac-005	179451450
0	5	abac-006	170850879
0	6	abac-007	166459019
0	7	abac-008	170908311
0	8	abac-009	169874194
0	9	abac-010	37415317
0	10	abac-001	2827166
0	11	abac-002	1190130
0	12	abac-003	1415583
0	13	abac-004	173778996
0	14	abac-005	170945460
0	15	abac-006	160296177
0	16	abac-007	174167862
0	17	abac-008	159490964
0	18	abac-009	167043375
0	19	abac-010	3035769
1	0	abac-001	951055
1	1	abac-002	893414
1	2	abac-003	1054497
1	3	abac-004	158716833
1	4	abac-005	165128064
1	5	abac-006	159370312
1	6	abac-007	163130653
1	7	abac-008	160509261
1	8	abac-009	163235734
1	9	abac-010	2372899
1	10	abac-001	883374
1	11	abac-002	810252
1	12	abac-003	885225
1	13	abac-004	164948431
1	14	abac-005	157967288
1	15	abac-006	171126772
1	16	abac-007	156906301
1	17	abac-008	168017101
1	18	abac-009	158737331
1	19	abac-010	2112185
2	0	abac-001	770924
2	1	abac-002	744152
2	2	abac-003	949746
2	3	abac-004	170852635
2	4	abac-005	159555403
2	5	abac-006	171345805
2	6	abac-007	160660072
2	7	abac-008	210231955
2	8	abac-009	152266506
2	9	abac-010	1934082
2	10	abac-001	941425
2	11	abac-002	894094
2	12	abac-003	966666
2	13	abac-004	158854872
2	14	abac-005	147183064
2	15	abac-006	152655851
2	16	abac-007	148287551
2	17	abac-008	157883506
2	18	abac-009	153208740
2	19	abac-010	2057034
