repetition	iteration	scenario_id	latency_ns
0	0	abac-001	3132921
0	1	abac-002	2135224
0	2	abac-003	2291577
0	3	abac-004	73203938
0	4	abac-005	85513359
0	5	abac-006	66284586
0	6	abac-007	59638838
0	7	abac-008	76147566
0	8	abac-009	63509991
0	9	abac-010	33881741
0	10	abac-001	2592592
0	11	abac-002	1367192
0	12	abac-003	1935832
0	13	abac-004	58200265
0	14	abac-005	52669205
0	15	abac-006	60151446
0	16	abac-007	56436517
0	17	abac-008	42300477
0	18	abac-009	41518244
0	19	abac-010	2019873
1	0	abac-001	880315
1	1	abac-002	972885
1	2	abac-003	1157018
1	3	abac-004	40173121
1	4	abac-005	45106363
1	5	abac-006	37965676
1	6	abac-007	37266214
1	7	abac-008	34224656
1	8	abac-009	34577001
1	9	abac-010	1589336
1	10	abac-001	801993
1	11	abac-002	737592
1	12	abac-003	908074
1	13	abac-004	48337585
1	14	abac-005	42206535
1	15	abac-006	30328232
1	16	abac-007	30335281
1	17	abac-008	30020908
1	18	abac-009	41262890
1	19	abac-010	1463754
2	0	abac-001	702301
2	1	abac-002	735572
2	2	abac-003	854913
2	3	abac-004	30084419
2	4	abac-005	30341112
2	5	abac-006	29778973
2	6	abac-007	30363574
2	7	abac-008	30275711
2	8	abac-009	40894593
2	9	abac-010	1376661
2	10	abac-001	627820
2	11	abac-002	873555
2	12	abac-003	806532
2	13	abac-004	29415917
2	14	abac-005	29459378
2	15	abac-006	29648771
2	16	abac-007	29695442
2	17	abac-008	34492090
2	18	abac-009	30712688
2	19	abac-010	1406643
