worker	iteration	scenario_id	latency_ns
0	0	abac-001	15573165
0	1	abac-002	12488934
0	2	abac-003	12730247
0	3	abac-004	7152163
0	4	abac-005	5293040
0	5	abac-006	3468756
0	6	abac-007	4708542
0	7	abac-008	4374548
0	8	abac-009	13608469
0	9	abac-010	35671598
0	10	abac-001	4541389
0	11	abac-002	3994903
0	12	abac-003	5773936
0	13	abac-004	4079664
0	14	abac-005	4257696
0	15	abac-006	2787137
0	16	abac-007	3560596
0	17	abac-008	3541726
0	18	abac-009	3033249
0	19	abac-010	2908649
0	0	abac-001	2396831
0	1	abac-002	2989219
0	2	abac-003	5183508
0	3	abac-004	3491946
0	4	abac-005	3580097
0	5	abac-006	2576043
0	6	abac-007	2787976
0	7	abac-008	2983270
0	8	abac-009	2650816
0	9	abac-010	2464573
0	10	abac-001	2268939
0	11	abac-002	2812667
0	12	abac-003	4206665
0	13	abac-004	2939299
0	14	abac-005	3321163
0	15	abac-006	2199929
0	16	abac-007	2836627
0	17	abac-008	2777557
0	18	abac-009	2185559
0	19	abac-010	2039817
0	0	abac-001	1960776
0	1	abac-002	2555493
0	2	abac-003	3900400
0	3	abac-004	2687835
0	4	abac-005	3251944
0	5	abac-006	2479072
0	6	abac-007	2549864
0	7	abac-008	2442312
0	8	abac-009	1903825
0	9	abac-010	1866654
0	10	abac-001	1757683
0	11	abac-002	2719026
0	12	abac-003	3586938
0	13	abac-004	2375721
0	14	abac-005	2769418
0	15	abac-006	2137849
0	16	abac-007	2261310
0	17	abac-008	2761855
0	18	abac-009	1999176
0	19	abac-010	1825894
