repetition	iteration	scenario_id	latency_ns
0	0	abac-001	4813387
0	1	abac-002	4990591
0	2	abac-003	6656988
0	3	abac-004	4806338
0	4	abac-005	5100443
0	5	abac-006	3659990
0	6	abac-007	4126547
0	7	abac-008	4318830
0	8	abac-009	17533345
0	9	abac-010	28942370
0	10	abac-001	4116137
0	11	abac-002	3583669
0	12	abac-003	5078224
0	13	abac-004	3796362
0	14	abac-005	4107066
0	15	abac-006	2810777
0	16	abac-007	3028699
0	17	abac-008	3236052
0	18	abac-009	2669803
0	19	abac-010	2534671
1	0	abac-001	2257366
1	1	abac-002	2737654
1	2	abac-003	4236818
1	3	abac-004	3019388
1	4	abac-005	3259593
1	5	abac-006	2497231
1	6	abac-007	2634073
1	7	abac-008	2869386
1	8	abac-009	2219856
1	9	abac-010	2170365
1	10	abac-001	2067234
1	11	abac-002	2627743
1	12	abac-003	3818791
1	13	abac-004	2640932
1	14	abac-005	3076620
1	15	abac-006	2075164
1	16	abac-007	2453390
1	17	abac-008	2339618
1	18	abac-009	1898280
1	19	abac-010	1783969
2	0	abac-001	1782189
2	1	abac-002	2291716
2	2	abac-003	3200092
2	3	abac-004	2382099
2	4	abac-005	2818775
2	5	abac-006	1996192
2	6	abac-007	2062864
2	7	abac-008	2213906
2	8	abac-009	1656098
2	9	abac-010	1717527
2	10	abac-001	1581525
2	11	abac-002	2309408
2	12	abac-003	3194482
2	13	abac-004	2266727
2	14	abac-005	2423419
2	15	abac-006	1615656
2	16	abac-007	1856450
2	17	abac-008	2174587
2	18	abac-009	2018453
2	19	abac-010	1619916
